Name1,Name2,Odd1_unibet,Odd2_unibet,Odd1_toto,Odd2_toto,Arbitrage1,Arbitrage2
Roberto Bautista Agut,Fabio Fognini,1.23,4.1,1.21,4.25,1.0483022477283597,1.070348720016126
Brandon Nakashima,Ugo Humbert,6.75,1.1,6.75,1.1,1.057239057239057,1.057239057239057
Carlos Alcaraz,Frances Tiafoe,1.15,5.5,1.12,6.0,1.0362318840579712,1.0746753246753247
Jan-Lennard Struff,Daniil Medvedev,2.45,1.52,2.55,1.53,1.0617580365479524,1.0500515995872033
Grigor Dimitrov,Gael Monfils,1.33,3.3,1.32,3.55,1.0335698400931908,1.0606060606060606
Denis Shapovalov,Ben Shelton,2.02,1.8,2.07,1.8,1.0506050605060506,1.0386473429951693
Jannik Sinner,Miomir Kecmanovic,1.02,12.5,1.03,15.5,1.0449082858950032,1.050873786407767
Cameron Norrie,Alexander Zverev,5.0,1.17,5.5,1.16,1.0620689655172415,1.0365190365190367
Alexei Popyrin,Novak Djokovic,6.1,1.12,6.5,1.13,1.0488901784418976,1.0467032967032965
Francisco Comesana,Lorenzo Musetti,4.4,1.2,4.75,1.21,1.0537190082644627,1.043859649122807
Giovanni Mpetshi Perricard,Emil Ruusuvuori,1.64,2.25,1.62,2.37,1.0316970258310176,1.0617283950617282
Arthur Fils,Roman Safiullin,1.65,2.25,1.63,2.35,1.0315925209542232,1.0579413769597819
Holger Rune,Quentin Halys,1.22,4.25,1.22,4.5,1.0418943533697633,1.0549662487945999
Lucas Pouille,Alex De Minaur,10.0,1.06,11.0,1.05,1.0523809523809524,1.0343053173241852
