Match,Odd1_toto,Odd2_toto,Odd1_livebet,Odd2_livebet,Arbitrage1,Arbitrage2
Fritz | Zverev,2.6,1.53,2.57,1.56,1.0256410256410255,1.042699829607589
Djokovic | Rune,1.31,3.6,1.3,3.75,1.0300254452926207,1.0470085470085468
Christie & Johnson | Gonzalez & Olmos,3.0,1.38,3.04,1.38,1.0579710144927537,1.053585049580473
Cash & Lumsden | Nicholls & Patten,2.27,1.61,2.25,1.57,1.077471309520469,1.0655624568668047
Krajicek & Siegemund | Krawietz & Panova,1.55,2.41,1.54,2.45,1.053324555628703,1.0642884086867488
Bucsa & Martin | Dart & Glasspool,2.34,1.56,2.29,1.61,1.0484684397727877,1.0777068637330647
Arevalo & Zhang | Ram & Volynets,1.44,2.75,1.44,2.71,1.063448134481345,1.058080808080808
Ebden & Perez | Molteni & Muhammad,1.24,4.0,1.22,4.11,1.049760615336316,1.069672131147541
Dabrowski & Heliovaara | Routliffe & Venus,2.14,1.66,2.1,1.71,1.0520850412635951,1.078600114744693
Lammons & Shibahara | Purcell & Yastremska,1.76,2.03,1.79,2.0,1.0681818181818183,1.0512700553155185
Hsieh & Zielinski | Nys & Schuurs,1.51,2.52,1.48,2.61,1.0453934180812463,1.0725010725010724
Krawczyk & Skupski | Matos & Stefani,1.5,2.54,1.47,2.65,1.0440251572327044,1.0739728962451123
Gille & Kichenok | Salisbury & Watson,2.33,1.58,2.25,1.57,1.066127224515459,1.0773558368495078
Errani & Vavassori | Sutjiadi & Withrow,1.77,2.02,1.81,1.96,1.0751758330450825,1.0475356927957988
Li | Sramkova,2.09,1.72,2.06,1.78,1.04026665233052,1.0668322420410927
Starodubtseva | Zavatska,1.5,2.54,1.52,2.58,1.0542635658914727,1.05159552424368
Bulgaru | Paquet,2.36,1.57,2.39,1.57,1.0606714887185578,1.0553527170002397
Sharma | Trevisan,2.65,1.46,2.82,1.44,1.0718029350104823,1.0395414359273292
Gao | Perrin,1.47,2.44,1.52,2.47,1.085130408438679,1.0677308024158758
Pridankina | Werner,1.4,2.65,1.4,2.86,1.063936063936064,1.091644204851752
Jorge | Rouvroy,1.67,2.17,1.63,2.25,1.0432468396540253,1.074326425602895
Baindl | Monnet,1.4,2.9,1.39,2.97,1.050986050986051,1.0642520466385514
Lamens | Lim,1.24,3.95,1.22,4.23,1.0428582322885687,1.0728366881095663
Bronzetti | Waltert,1.46,2.65,1.47,2.66,1.0608713564733752,1.0576305994095752
Anshba & Detiuc | Carle & Riera,1.53,2.29,1.53,2.37,1.0755356995118723,1.0902759939492537
Medvedev | Sinner,4.25,1.24,4.33,1.22,1.0549662487945999,1.037398495120316
Alcaraz | Paul,1.26,4.0,1.25,4.0,1.0436507936507935,1.05
Dabrowski & Routliffe | Kostyuk & Ruse,1.54,2.43,1.57,2.36,1.0730794629099714,1.0484653089040916
Chan & Kudermetova | Krejcikova & Siegemund,2.75,1.44,2.51,1.52,1.021531100478469,1.0928508189464365
Hennemann | Parry,6.0,1.12,6.0,1.12,1.0595238095238095,1.0595238095238095
Bjorklund | Semenistaja,2.31,1.59,2.29,1.61,1.054018445322793,1.0656120403174865
Rakhimova | Sawangkaew,1.13,5.5,1.14,5.5,1.0667739340305713,1.0590111642743223
Korpatsch | Seidel,1.81,1.98,1.8,2.0,1.0524861878453038,1.0606060606060606
Erjavec | Townsend,2.16,1.68,2.2,1.66,1.0653726015171798,1.0497835497835497
Kudermetova | Sherif,4.0,1.23,3.75,1.25,1.05,1.0796747967479674
Hesse | Janicijevic,1.89,1.89,1.83,1.83,1.075548616532223,1.075548616532223
Bajraliu & Taraba | Korpatsch & Thombare,5.75,1.09,7.0,1.1,1.08300395256917,1.0602883355176933
Corley & Corley | Hennemann & Zaar,1.49,2.39,1.5,2.5,1.0711409395973155,1.0850767085076707
Erjavec & Zidansek | Rosca & Smith,1.83,1.83,1.83,1.83,1.0928961748633879,1.0928961748633879
Kolb & Kolb | Plipuech & Tsao,2.23,1.56,2.25,1.57,1.0853731684327783,1.0854700854700854
Paquet & Semenistaja | Santamaria & Zarazua,2.43,1.48,2.5,1.5,1.0781893004115226,1.0756756756756758
