Match,Odd1_unibet,Odd2_unibet,Odd1_livebet,Odd2_livebet,Arbitrage1,Arbitrage2
Djokovic | Rune,1.3,3.5,1.3,3.75,1.0358974358974358,1.0549450549450547
Alcaraz | Paul,1.25,3.95,1.25,4.0,1.05,1.0531645569620254
Svitolina | Wang,1.49,2.6,1.5,2.73,1.0374413058976817,1.051282051282051
Frantzen & Jebens | Glasspool & Rojer,2.22,1.64,2.37,1.53,1.1040452216922805,1.0316970258310176
Heliovaara & Patten | Matos & Melo,1.62,2.15,1.58,2.38,1.0374520178441746,1.0980276714748307
Arevalo & Pavic | Doumbia & Reboul,1.33,3.25,1.31,3.45,1.0417347717118883,1.0710510863182618
Baez & Brown | Granollers & Zeballos,6.5,1.09,6.83,1.1,1.062937062937063,1.0638440769943718
Eubanks & King | Skupski & Venus,3.4,1.3,3.58,1.28,1.0753676470588236,1.0485603781693167
Lammons & Withrow | McDonald & Shelton,1.5,2.5,1.61,2.2,1.121212121212121,1.0211180124223602
Mies & Smith | Purcell & Thompson,2.8,1.4,2.82,1.42,1.0613682092555332,1.0688956433637284
Broom & Fery | Gonzalez & Molteni,2.9,1.38,3.25,1.33,1.0967072854550168,1.032329988851728
Babos & Kichenok | Muhammad & Sutjiadi,1.8,1.97,1.72,2.0,1.0555555555555556,1.0890095620351787
Errani & Paolini | Gauff & Pegula,2.9,1.4,3.0,1.36,1.0801217038539552,1.0476190476190477
Dabrowski & Routliffe | Kostyuk & Ruse,1.53,2.35,1.57,2.36,1.0773235848011522,1.0624745900528527
Christie & Johnson | Gonzalez & Olmos,3.05,1.36,3.04,1.38,1.0525065336184367,1.0642414860681115
Bucsa & Martin | Dart & Glasspool,2.25,1.62,2.29,1.61,1.0655624568668047,1.0539651733247075
Ebden & Perez | Molteni & Muhammad,1.22,4.1,1.22,4.11,1.062981133580631,1.0635745701719312
Gille & Kichenok | Salisbury & Watson,2.37,1.57,2.25,1.57,1.058883603429278,1.0813871196036802
Starodubtseva | Zavatska,1.52,2.5,1.52,2.58,1.0454916360669115,1.0578947368421052
Bulgaru | Paquet,2.43,1.54,2.39,1.57,1.0484653089040916,1.0677606911916535
Korpatsch | Seidel,1.82,1.96,1.8,2.0,1.0494505494505493,1.0657596371882088
Erjavec | Townsend,2.23,1.64,2.2,1.66,1.0508401318277596,1.06430155210643
