Name1,Name2,Odd1,Odd2
Francisco Comesana,Adam Walton,"2,35","1,57"
Lloyd Harris,Ben Shelton,"2,50","1,52"
Grigor Dimitrov,Juncheng Shang,"1,48","2,60"
Denis Shapovalov,Daniel Altmaier,"1,50","2,53"
Tomas Martin Etcheverry,Alexei Popyrin,"1,51","2,52"
Luciano Darderi,Lorenzo Musetti,"3,70","1,27"
Katie Boulter,Harriet Dart,"1,37","3,05"
Xinyu Wang,Jessica Pegula,"1,36","3,05"
Anna Kalinskaya,Marie Bouzkova,"1,70","2,11"
Jack Draper,Cameron Norrie,"1,34","3,45"
Taylor Fritz,Arthur Rinderknech,"1,07","9,25"
Holger Rune,Thiago Seyboth Wild,"1,12","7,00"
Thanasi Kokkinakis,Lucas Pouille,"1,49","2,70"
Quentin Halys,Karen Khachanov,"2,60","1,52"
Giovanni Mpetshi Perricard,Yoshihito Nishioka,"1,55","2,54"
Emil Ruusuvuori,Stefanos Tsitsipas,"4,50","1,22"
Daria Snigur,Jelena Ostapenko,"3,70","1,30"
Iga Swiatek,Petra Martic,"1,02","17,00"
Danielle Collins,Dalma Galfi,"1,27","3,90"
Caroline Garcia,Bernarda Pera,"1,62","2,37"
Caroline Wozniacki,Leylah Annie Fernandez,"2,33","1,64"
Ons Jabeur,Robin Montgomery,"1,21","4,75"
Elina Avanesyan,Liudmila Samsonova,"3,95","1,27"
Carlos Alcaraz,Frances Tiafoe,"1,07","9,25"
Jan-Lennard Struff,Daniil Medvedev,"2,55","1,54"
Roberto Bautista Agut,Fabio Fognini,"1,45","2,85"
Brandon Nakashima,Ugo Humbert,"2,03","1,83"
Tommy Paul,Alexander Bublik,"1,65","2,30"
Diana Shnaider,Emma Navarro,"2,14","1,75"
Jasmine Paolini,Bianca Andreescu,"1,79","2,08"
Lulu Sun,Lin Zhu,"2,13","1,75"
Sonay Kartal,Coco Gauff,"9,25","1,07"
Dayana Yastremska,Donna Vekic,"3,20","1,37"
Emma Raducanu,Maria Sakkari,"1,69","2,22"
