Match,Odd1,Odd2
Starodubtseva | Zavatska,1.52,2.58
Li | Sramkova,2.06,1.78
Rinaldo | Zidansek,3.2,1.36
L | Zarazua,3.12,1.37
Bulgaru | Paquet,2.39,1.57
Sharma | Trevisan,2.82,1.44
Lourdes | Masarova,2.2,1.66
Hennemann | Parry,6.0,1.12
Parrizas | Riera,2.62,1.5
Bjorklund | Semenistaja,2.29,1.61
Korpatsch | Seidel,1.8,2.0
Rakhimova | Sawangkaew,1.14,5.5
Erjavec | Townsend,2.2,1.66
Gabriela | Kawa,1.16,5.0
Cristian | Taraba,1.1,7.0
Anshba & Detiuc | Carle & Riera,1.53,2.37
salden | wagner,1.61,2.2
Paquet & Semenistaja | Santamaria & Zarazua,2.5,1.5
Bajraliu & Taraba | Korpatsch & Thombare,7.0,1.1
Corley & Corley | Hennemann & Zaar,1.5,2.5
Erjavec & Zidansek | Rosca & Smith,1.83,1.83
Kolb & Kolb | Plipuech & Tsao,2.25,1.57
I | Monnot,1.21,4.2
Gao | Perrin,1.52,2.47
Pridankina | Werner,1.4,2.86
Baindl | Monnet,1.39,2.97
Jorge | Rouvroy,1.63,2.25
Martynov | Nadine,2.33,1.57
Mateas | Noha,2.22,1.65
Lamens | Lim,1.22,4.23
Bronzetti | Waltert,1.47,2.66
Kudermetova | Sherif,3.75,1.25
Albie | Romero,2.75,1.4
Hesse | Janicijevic,1.83,1.83
Ciric | Jakupovic,1.28,3.5
Kalinskaya | Rybakina,4.13,1.26
Svitolina | Wang,1.5,2.73
Ostapenko | Putintseva,1.75,2.18
Collins | Krejcikova,1.48,2.82
Sun | Vekic,3.4,1.33
Navarro | Paolini,1.53,2.5
Christie & Johnson | Gonzalez & Olmos,3.04,1.38
Cash & Lumsden | Nicholls & Patten,2.25,1.57
Bucsa & Martin | Dart & Glasspool,2.29,1.61
Krajicek & Siegemund | Krawietz & Panova,1.54,2.45
Kichenok & Pavic | Melichar & Peers,1.63,2.26
Dabrowski & Heliovaara | Routliffe & Venus,2.1,1.71
Murray & Townsend | kato,1.53,2.49
Ebden & Perez | Molteni & Muhammad,1.22,4.11
Eikeri & Gonzalez | Mattek & Rojer,2.19,1.66
Hsieh & Zielinski | Nys & Schuurs,1.48,2.61
Gille & Kichenok | Salisbury & Watson,2.25,1.57
Lammons & Shibahara | Purcell & Yastremska,1.79,2.0
Arevalo & Zhang | Ram & Volynets,1.44,2.71
Errani & Vavassori | Sutjiadi & Withrow,1.81,1.96
Krawczyk & Skupski | Matos & Stefani,1.47,2.65
Mpetshi | Musetti,1.98,1.9
De | Fils,1.21,4.86
Fritz | Zverev,2.57,1.56
Djokovic | Rune,1.3,3.75
Alcaraz | Paul,1.25,4.0
Medvedev | Sinner,4.33,1.22
Heliovaara & Patten | Matos & Melo,1.58,2.38
Baez & Brown | Granollers & Zeballos,6.83,1.1
Arevalo & Pavic | Doumbia & Reboul,1.31,3.45
Frantzen & Jebens | Glasspool & Rojer,2.37,1.53
Lammons & Withrow | McDonald & Shelton,1.61,2.2
Eubanks & King | Skupski & Venus,3.58,1.28
Mies & Smith | Purcell & Thompson,2.82,1.42
Broom & Fery | Gonzalez & Molteni,3.25,1.33
Babos & Kichenok | Muhammad & Sutjiadi,1.72,2.0
Hsieh & Mertens | Kenin & Mattek,1.4,2.88
Errani & Paolini | Gauff & Pegula,3.0,1.36
Chan & Kudermetova | Krejcikova & Siegemund,2.51,1.52
Dabrowski & Routliffe | Kostyuk & Ruse,1.57,2.36
