Match,Odd1,Odd2
Fernandez & Shibahara | Siniakova & Townsend,10.5,1.03
Ferguson | Navasirisomboon,1.8,1.83
Sim | Ziegann,1.14,4.5
Bazilevskiy | Susanto,1.14,4.5
Ipunesso | Osafune,6.25,1.06
Kalluri | Vemuri,1.73,1.91
Musetti | Perricard,1.9,1.94
Fils | Minaur,4.75,1.21
Fritz | Zverev,2.6,1.53
Djokovic | Rune,1.31,3.6
Christie & Johnson | Gonzalez & Olmos,3.0,1.38
Cash & Lumsden | Nicholls & Patten,2.27,1.61
Krajicek & Siegemund | Krawietz & Panova,1.55,2.41
Bucsa & Martin | Dart & Glasspool,2.34,1.56
Kichenok & Pavic | Melichar-Martinez & Peers,1.62,2.27
Barrientos & Kato | Murray & Townsend,2.65,1.46
Arevalo & Zhang | Ram & Volynets,1.44,2.75
Ebden & Perez | Molteni & Muhammad,1.24,4.0
Eikeri & Gonzalez | Mattek-Sands & Rojer,2.26,1.62
Dabrowski & Heliovaara | Routliffe & Venus,2.14,1.66
Lammons & Shibahara | Purcell & Yastremska,1.76,2.03
Hsieh & Zielinski | Nys & Schuurs,1.51,2.52
Krawczyk & Skupski | Matos & Stefani,1.5,2.54
Gille & Kichenok | Salisbury & Watson,2.33,1.58
Errani & Vavassori | Sutjiadi & Withrow,1.77,2.02
Li | Sramkova,2.09,1.72
Starodubtseva | Zavatska,1.5,2.54
Rinaldo Persson | Zidansek,3.15,1.35
Chirico | Zarazua,2.95,1.39
Bulgaru | Paquet,2.36,1.57
Sharma | Trevisan,2.65,1.46
Rehberg | Stodder,1.63,2.1
Fanselow | Jover,2.14,1.6
Milev | Slump,1.48,2.4
Dedura-Palomero | Moeller,1.7,2.0
Gavrielides | Geerts,1.98,1.71
Gentzsch | Vatutin,2.55,1.43
Barrere | Cachin,1.92,1.86
Gima | Nourescu,1.06,6.75
Dancu | Vrbensky,4.25,1.17
Bobrov | Tomescu,2.19,1.58
Lavallen | Orlov,1.3,3.15
Nesterov | Snitari,1.89,1.78
Papoe | Strombachs,1.54,2.27
Janvier | Svrcina,2.05,1.75
Heide | Sachko,1.49,2.6
Burruchaga | Cretu,1.43,2.8
Haliak | Hipfl,1.47,2.44
Pichler | Sorger,1.84,1.83
Gombos | Sanchis,1.7,1.99
Basilashvili | Privara,1.2,3.9
Karol | Kodat,3.3,1.27
Rola | Ursu,1.25,3.45
Miralles | Ritschard,1.91,1.86
Canas | Tabur,1.5,2.55
Choinski | Oberleitner,1.38,2.95
Montagud | Nam,1.36,2.8
Dellavedova | Obradovic,2.04,1.67
Berrettini | Mikrut,2.27,1.54
