Name1,Odd1,Name2,Odd2
"Cobolli, Flavio",4.5,"Tabilo, Alejandro",1.19
"Halys, Quentin",3.6,"Khachanov, Karen",1.28
"Rune, Holger Vitus Nødskov",1.29,"Seyboth Wild, Thiago",3.5
"Fritz, Taylor",1.04,"Rinderknech, A",12.5
"Kokkinakis, Thanasi",1.47,"Pouille, Lucas",2.6
"Draper, Jack",1.26,"Norrie, Cameron",3.85
"Mpetshi Perricard, Giovanni",1.56,"Nishioka, Yoshihito",2.45
"Ruusuvuori, Emil",4.2,"Tsitsipas, Stefanos",1.23
"Giron, Marcos",6.5,"Zverev, Alexander",1.11
"Struff, Jan-Lennard",2.55,"Medvedev, Daniil",1.52
"Bautista Agut, Roberto",1.44,"Fognini, Fabio",2.8
"Paul, Tommy",1.62,"Bublik, Alexander",2.3
"Nakashima, Brandon",2.02,"Humbert, Ugo",1.8
"Alcaraz, Carlos",1.07,"Tiafoe, Frances",8.5
"Escobedo, Ernesto",2.8,"Seggerman, Ryan",1.4
"Bellier, Antoine",6.5,"Basavareddy, Nishesh",1.1
"Kwiatkowski, Thai-Son",2.54,"Brouwer, Gijs",1.5
"Vandecasteele, Quinn",2.7,"Tomic, Bernard",1.45
